season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2017,Central Connecticut,2,"92.2
339","115.4
325",".0700
341","47.6
287","53
257","21
318","18.8
116","32.9
58","28.5
178","33.9
195","37.4
229","43.4
335","51
227","38.8
61","37.4
249","66.6
256","-5.4
298"
2016,UMBC,2,"97.2
290","119.4
344",".0864
341","49.6
194","58.5
349","18.4
219","18.9
104","24.8
299","27.1
91","42.5
59","47.2
325","50
138","58.3
347","32.5
245","39.2
305","71.2
50","-5.9
308"
2015,Arkansas Pine Bluff,5,"88.0
344","110.9
293",".0652
341","49.9
151","48.3
120","25.4
349","24
5","30
197","38.6
342","37.3
148","46.2
312","47.2
198","47.5
162","36
132","33.3
108","64.6
145","-4.5
272"
2014,Mississippi Valley St.,3,"92.4
330","114.8
322",".0757
341","47.4
247","50.7
208","21.6
317","19.4
90","32.5
130","31
156","37.3
226","48.1
297","48.7
164","49.8
216","30
308","35.5
198","71.6
10","-8.4
348"
2013,IUPUI,0,"90.2
320","115.9
337",".0528
341","49.7
143","52.7
285","18.5
140","12.6
347","18.6
347","32.2
192","16.7
347","30.1
56","50
93","52
295","32.7
229","36
229","63.5
238","-6.7
322"
2012,Central Arkansas,1,"85.0
339","108.8
279",".0554
341","42
339","51.9
262","21.4
266","22.9
38","30.6
201","38.1
324","27.9
316","44.4
294","43.2
314","53.8
322","26.4
339","31.4
80","71.5
10","-8.1
344"
2011,Arkansas Pine Bluff,3,"86.6
337","114.6
326",".0384
341","45.9
295","49.4
187","23.4
326","23.2
22","29.4
230","32.3
186","43
67","54.8
338","42
327","47.6
167","35
155","35.5
203","63.4
264","-6.7
332"
2010,Marist,0,"84.0
340","108.7
285",".0494
341","41.5
338","48.1
134","22.5
304","18.4
232","24.5
324","35.6
284","30.3
314","32.3
76","37
347","46.6
125","33.1
215","34
153","63.9
258","-6.3
319"
2009,Maryland Eastern Shore,1,"89.6
322","122.6
343",".0264
341","43.6
322","53.3
295","25.3
332","19.5
197","40.4
8","36.1
293","46.6
24","44.4
292","39.9
339","49.3
200","33.9
183","40.6
324","64.3
239","-9.5
343"
2008,NJIT,0,"84.9
339","116.0
331",".0270
341","44.2
320","56.4
323","24.2
317","19.2
215","33.9
122","34.5
233","40
112","47.4
316","44.9
281","49.3
198","28.6
321","47.4
341","73.4
10","-6.3
309"
2019,Alcorn St.,4,"92.4
334","115.2
331",".0736
340","49.4
225","50.7
176","25.5
351","15.4
292","34
32","27.7
170","35.2
98","40.4
312","48.7
217","54
304","33.9
194","29.3
17","65.9
269","-6.2
317"
2018,Army,1,"93.8
327","114.6
316",".0911
340","46.8
312","57.7
333","16.6
118","19.8
51","27.6
190","23.6
38","21.6
347","42.8
324","46
306","56.5
330","31.9
282","39.8
308","69.8
104","-6.3
332"
2017,Mississippi Valley St.,4,"93.6
326","117.0
335",".0711
340","46.1
317","52.8
252","20.3
291","21.7
28","35.2
22","34.1
321","33.8
199","41.5
285","47
258","56.1
335","28.9
329","31.4
62","72
40","-5.6
303"
2016,Mississippi Valley St.,5,"91.0
336","111.3
276",".0898
340","44.8
321","47.8
81","20.2
299","19.7
68","29.6
165","34.7
323","35.4
202","33.7
109","46
268","50.7
226","28
336","28.8
22","71
51","-7.4
340"
2015,Stetson,2,"89.1
340","111.7
303",".0689
340","45.1
305","51.3
237","18.8
197","16.8
250","28.7
232","32.9
255","36
184","28.6
37","44.1
298","50.1
238","31.6
269","35.4
195","69
16","-6
321"
2014,Houston Baptist,1,"90.5
341","112.4
304",".0761
340","47.9
230","52.2
271","20.4
285","18.1
163","28.2
259","30.6
139","40
170","52.1
332","45.9
261","53.5
303","35.5
132","32.3
99","72.3
7","-7.2
337"
2013,San Jose St.,0,"84.6
341","108.4
279",".0546
340","38.8
346","55.1
331","19.5
187","18.1
223","29.8
216","29.7
111","38.7
129","34.6
134","36.9
347","53.6
314","28.1
325","38.7
298","66.6
92","-6.4
314"
2012,Nebraska Omaha,0,"89.2
325","114.1
332",".0556
340","40.2
343","53.8
303","18.7
142","17.7
241","28.7
245","35.6
291","27
324","27.5
27","39.4
342","52.6
312","27.7
320","38.3
277","70.3
18","-2.5
178"
2011,Toledo,0,"88.2
329","115.0
328",".0449
340","46.9
249","55
330","24.6
338","22.1
46","27.6
278","36.8
315","40.5
105","40
217","48.2
156","53.9
327","29.9
304","37.7
278","63.9
244","-9.1
345"
2010,NJIT,3,"85.2
337","110.1
300",".0499
340","45.8
278","49.2
181","19.8
179","22.1
59","28.3
266","28.3
52","30.5
309","50.1
321","42.9
314","45.7
89","34.1
178","37.2
260","68
86","-7.7
343"
2009,Grambling St.,1,"89.3
324","121.2
342",".0290
340","49
182","52.8
285","21.2
227","17.9
260","26.4
304","32.8
185","31.9
259","38.9
226","47.3
199","53.1
312","34.9
140","34.9
173","60.9
315","-8.6
340"
2008,Howard,1,"83.0
341","109.1
275",".0414
340","46.8
275","48.5
113","26.4
334","19.4
207","30.8
215","32.9
188","32
269","32.9
89","45.2
274","45.4
68","33
235","38.4
273","63.8
261","-10.2
341"
2019,Maine,1,"94.0
324","116.2
338",".0802
339","48.8
243","58.4
348","20.1
289","19.3
87","24.7
270","26.9
141","26.4
299","33.1
202","47.7
257","55.4
329","34.1
184","40.7
335","65
303","-7.4
342"
2018,Presbyterian,2,"95.2
317","116.1
328",".0931
339","47.3
301","54.9
295","18.4
238","18.2
132","29.2
133","30.7
262","24.4
335","28.2
65","42.8
342","52.9
260","36
132","38.6
286","61.6
347","-5.9
319"
2017,South Carolina St.,4,"96.4
298","119.6
344",".0774
339","48.7
244","52.6
242","17.3
139","19.2
101","29.6
139","32.9
306","33.9
195","43.7
304","48.7
195","53.8
304","32.4
260","33.1
98","70
103","-5.4
299"
