season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2017,Houston,6,"114.3
34","97.0
89",".8684
42","54.5
55","45.9
72","16.5
59","22.3
41","35.5
48","31.1
216","34.1
182","33.5
162","50.4
129","39.3
8","40.9
30","38.3
257","65.4
324","-0.1
69"
2016,UT Arlington,4,"111.4
51","96.2
81",".8433
42","52.4
86","49.3
160","18.8
176","21.2
65","36.6
38","22.6
14","38.7
112","39.8
255","51.1
94","50.3
223","35.9
127","31.8
98","73.5
36","0
66"
2015,"Kansas
2 seed, R32",5,"111.4
37","95.1
90",".8610
42","49.3
153","51.1
239","20.6
218","19.6
183","37.3
38","27.3
68","40.1
114","28.2
50","41.8
303","50.7
256","44.9
5","34.4
189","68.6
54","1.6
10"
2014,"San Diego St.
4 seed, Sweet Sixteen",5,"101.0
200","86.7
8",".8537
42","46
255","38.7
4","15.2
34","23.1
31","34.6
97","27.6
66","44.9
93","29.8
45","43.6
283","34.5
3","34.6
163","33.8
161","65.9
220","1
19"
2013,Utah,2,"108.3
43","92.3
76",".8621
42","52.8
66","45.7
102","24.7
313","14.3
338","34.8
105","27.1
48","35.9
151","27.4
64","50
109","43.4
77","38.2
59","34.4
205","60.8
337","-0.9
135"
2012,"UNLV
6 seed, R64",6,"107.9
72","93.2
66",".8424
42","56.5
17","45.4
74","20.4
163","21.8
109","32.9
163","33.8
215","33.9
201","32.3
127","53.8
42","43
51","41
24","33.6
143","69.3
69","1
20"
2011,Nebraska,6,"101.1
169","86.4
7",".8592
42","55.1
28","37.8
1","20.5
171","22.5
80","30.5
244","26.4
21","28.1
304","20.9
6","58.6
4","35.1
1","32.2
221","27.4
18","66
224","0.4
44"
2010,Seton Hall,4,"109.4
59","92.5
50",".8731
42","49.7
143","44.7
62","15
8","20
200","39.7
35","33
181","40.3
105","31.6
102","47.7
162","40.8
25","35.6
143","34.5
172","75.1
16","-1.2
144"
2009,Saint Mary's,7,"112.9
23","96.5
110",".8593
42","49.9
152","43.5
34","18.9
80","16.3
325","40
30","34.5
210","43.7
53","25.5
37","49.1
146","42.8
48","34.4
174","30.4
72","68.6
126","1.9
3"
2008,"Saint Mary's
10 seed, R64",7,"104.8
118","89.3
32",".8628
42","51.4
125","41.7
13","18.2
33","19.4
272","37
72","32.7
161","43
41","27
46","54.4
34","41.2
29","30.9
272","28.7
28","69.6
117","1
24"
2020,Colorado,5,"104.7
96","89.8
33",".8551
41","51
128","46.6
91","22.4
290","21
109","36
27","25.3
89","41.4
34","25.8
73","48
224","46.7
110","36.7
78","31
94","71.3
107","0.6
38"
2019,Seattle,5,"111.7
47","95.4
71",".8606
41","54.8
67","45.6
49","15.9
45","17.1
247","29.7
147","25.6
105","40.1
62","42.5
305","51.7
148","45.3
63","41.1
25","30.7
76","71.5
109","0.1
61"
2018,"TCU
6 seed, R64",5,"120.4
6","103.5
178",".8513
41","58.4
17","52.9
241","15.5
31","15.9
308","37.1
18","26.7
104","39.4
51","32.1
176","56.5
35","52.5
244","41.5
28","35.7
195","70.7
129","0.2
56"
2017,"Michigan
7 seed, Sweet Sixteen",5,"119.2
10","101.0
151",".8701
41","61.3
2","52.5
239","12.4
2","20.3
99","26.9
244","23.3
24","30.8
248","20.3
5","59.3
8","48.6
168","42.4
18","40.8
306","62.3
347","0.3
52"
