season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2019,Illinois Chicago,14,"100.5
230","101.8
140",".4645
177","53.3
65","48.3
62","20
275","17.6
233","24.9
277","30.4
267","27.8
301","42
334","54.1
45","46.8
45","34.9
146","33.8
137","71.6
63","-10.1
207"
2018,Duquesne,16,"104.6
159","105.8
204",".4672
177","49.7
216","50.8
173","17.6
116","18.4
173","33
48","28.9
182","35.4
115","36.4
240","47.8
257","51
219","35
168","33.5
89","67.3
273","-11
226"
2017,UAB,16,"103.0
174","103.9
182",".4734
177","51.3
134","49.8
141","20
274","17.3
253","30
143","28.1
123","37.7
111","29.4
46","51.3
86","48.8
146","34.1
209","34.2
117","67.8
256","-9.4
195"
2016,Detroit,14,"109.6
74","110.7
302",".4727
177","52
74","53.6
322","17.8
145","17.2
231","32.5
78","29.4
150","40.5
80","46.5
331","50.6
98","53.7
333","36.5
80","35.6
228","74.5
8","-8.4
172"
2015,Winthrop,16,"102.5
157","103.9
202",".4609
177","50.8
88","47
88","17.7
76","19
172","29.4
233","32.3
237","35.9
208","38.4
210","49.2
101","45.9
98","35.5
111","32.7
85","66.2
100","-8.9
188"
2014,USC Upstate,17,"104.5
177","105.3
184",".4783
177","50.5
126","47.8
102","18.2
159","18
198","35.2
51","31
149","39.2
206","39.1
147","51.9
43","45.1
52","32
278","34.5
179","65.8
214","-8.3
183"
2013,Southern Illinois,13,"100.3
171","101.3
184",".4694
177","48
203","53.1
322","19.4
137","24.2
17","31.7
166","31.9
167","34.1
227","42.5
301","48.1
152","51.8
307","31.8
259","36.9
300","63.1
286","-8.3
184"
2012,Miami OH,8,"101.0
168","102.0
194",".4718
177","50.7
102","50.6
238","21.7
261","18.9
237","26.9
302","32.3
183","31.3
299","36
170","48.5
139","49.9
250","35.8
97","34.9
192","60.7
335","-12.2
257"
2011,IPFW,17,"103.5
124","104.6
235",".4696
177","52.6
35","51
258","18.1
59","20.3
152","28.4
293","28.6
42","35.6
240","48.7
328","49.7
87","51.7
309","38.4
24","33
93","66.4
184","-5.9
129"
2010,Denver,19,"105.9
101","106.6
273",".4809
177","57.9
1","50.7
257","19.6
129","21.2
108","18.8
347","31.3
108","44.8
37","59.7
347","56.8
2","48.6
209","39.5
14","37.9
317","59.9
343","-9.1
185"
2009,Georgia,12,"94.3
277","95.6
68",".4607
177","46.7
262","48.2
128","24.6
323","20.9
150","34.1
120","33.1
199","30.2
313","28.3
19","44.6
283","47.5
140","34.2
156","33
94","69.3
70","-9.7
195"
2008,Rutgers,11,"94.4
274","96.4
75",".4389
177","44.8
321","47.7
72","22.5
243","18.8
291","31.9
205","34.4
243","34.7
230","27.4
19","43.4
313","44.6
38","31.8
294","37.1
279","66.6
188","-8.4
178"
2019,Missouri St.,15,"101.7
206","102.9
164",".4656
176","51.2
144","53.5
298","18.2
146","21.8
24","25.4
268","25.3
48","36.9
70","35
233","51.4
115","49.4
141","33.9
197","40.3
352","67.4
262","-9.9
204"
2018,Ohio,13,"99.8
247","100.8
109",".4696
176","51
168","49.9
120","18
141","18.1
198","22.4
327","26.4
68","30.9
252","30.1
92","48.4
230","50.7
206","37.2
71","32.4
30","72.7
36","-10.9
219"
2017,"Jacksonville St.
15 seed, R64",18,"103.8
159","104.7
198",".4736
176","52.4
81","49.3
121","20.7
308","16.8
280","31.5
91","28
117","33.8
226","34.8
166","50.9
99","44.7
26","36.7
88","37.9
313","65.2
328","-8.1
168"
2016,Eastern Washington,15,"111.6
49","112.7
325",".4730
176","56.9
5","54.2
334","16.5
69","16.3
285","26.8
268","29
135","36.8
176","38.5
212","56.8
3","53.4
330","38.1
37","37.6
313","69.6
135","-10.7
216"
2015,Canisius,16,"98.9
233","99.9
128",".4695
176","45.8
298","47
88","18.7
136","22
24","34.1
72","32.5
244","31.7
302","40.7
243","45
286","45.5
85","31.5
285","33.1
103","63.3
260","-9.3
201"
2014,Oral Roberts,15,"107.5
123","108.3
248",".4784
176","50.4
131","48.8
127","17
76","16.3
295","32.9
118","30.8
143","41.9
125","42.8
222","49.4
134","46.1
82","35.8
104","37.3
300","64.9
258","-8.9
195"
2013,Loyola Chicago,14,"100.6
163","101.4
188",".4756
176","50.4
95","49
190","20.9
230","18.4
264","30.5
213","26.9
17","35.3
191","30.5
55","48.3
142","48.1
196","36.5
58","33.9
172","63.2
282","-10.5
206"
2012,UTSA,16,"102.1
148","102.9
211",".4786
176","51.5
71","49.9
211","20.2
165","22.5
55","28.1
280","33.5
230","37.1
151","34.4
133","47.2
194","50.3
264","39.1
17","32.9
101","68.1
76","-8.7
186"
2011,Miami OH,15,"103.6
123","104.7
237",".4697
176","50.1
113","50.3
229","21.7
257","16.3
330","29.1
277","32.2
170","36.8
201","32.4
63","48.6
136","48
180","34.8
155","37
301","64.1
290","-7
151"
2010,Saint Peter's,16,"91.5
305","92.1
33",".4814
176","44.4
322","42.8
2","24.4
328","22.1
67","38.6
19","32.7
170","35.3
239","41.3
244","43.1
311","41.1
5","31.7
268","30.8
32","65
270","-9.2
186"
2009,South Alabama,19,"101.7
151","103.1
216",".4615
176","51.2
88","46.7
64","21.1
203","16.5
335","37.2
38","31.4
112","41.8
42","33.5
104","49.7
99","42.5
18","37.6
42","36.6
291","64.7
260","-7.7
155"
2008,Eastern Michigan,14,"102.7
151","104.8
232",".4403
176","50.3
150","50.8
212","23.1
271","21.3
162","34.7
100","34
228","40.4
65","40.6
255","47.3
213","49.1
197","35.9
128","36.1
227","64.3
279","-10.4
211"
