school,url_school,location
Nicholls State Colonels,nicholls-state,"Thibodaux, Louisiana"
NJIT Highlanders,njit,"Newark, New Jersey"
Norfolk State Spartans,norfolk-state,"Norfolk, Virginia"
North Alabama Lions,north-alabama,"Florence, Alabama"
North Carolina A&T Aggies,north-carolina-at,"Greensboro, North Carolina"
North Carolina Central Eagles,north-carolina-central,"Durham, North Carolina"
North Carolina State Wolfpack,north-carolina-state,"Raleigh, North Carolina"
North Carolina Tar Heels,north-carolina,"Chapel Hill, North Carolina"
North Carolina-Asheville Bulldogs,north-carolina-asheville,"Asheville, North Carolina"
North Carolina-Greensboro Spartans,north-carolina-greensboro,"Greensboro, North Carolina"
North Carolina-Wilmington Seahawks,north-carolina-wilmington,"Wilmington, North Carolina"
North Central Cardinals,north-central,"Naperville, Illinois"
North Dakota Fighting Hawks,north-dakota,"Grand Forks, North Dakota"
North Dakota State Bison,north-dakota-state,"Fargo, North Dakota"
North Florida Ospreys,north-florida,"Jacksonville, Florida"
North Texas Mean Green,north-texas,"Denton, Texas"
Northeastern Huskies,northeastern,"Boston, Massachusetts"
Northeastern Illinois Golden Eagles,northeastern-illinois,"Chicago, Illinois"
Northern Arizona Lumberjacks,northern-arizona,"Flagstaff, Arizona"
Northern Colorado Bears,northern-colorado,"Greeley, Colorado"
Northern Illinois Huskies,northern-illinois,"De Kalb, Illinois"
Northern Iowa Panthers,northern-iowa,"Cedar Falls, Iowa"
Northern Kentucky Norse,northern-kentucky,"Highland Heights, Kentucky"
Northwest Missouri State Bearcats,northwest-missouri-state,"Maryville, Missouri"
Northwestern State Demons,northwestern-state,"Natchitoches, Louisiana"
Northwestern Wildcats,northwestern,"Evanston, Illinois"
Notre Dame Fighting Irish,notre-dame,"Notre Dame, Indiana"
Oakland Golden Grizzlies,oakland,"Rochester, Michigan"
Oberlin Yeomen,oberlin,"Oberlin, Ohio"
Ohio Bobcats,ohio,"Athens, Ohio"
Ohio State Buckeyes,ohio-state,"Columbus, Ohio"
Ohio Wesleyan Battling Bishops,ohio-wesleyan,"Delaware, Ohio"
Oklahoma City Chiefs,oklahoma-city,"Oklahoma City, Oklahoma"
Oklahoma Sooners,oklahoma,"Norman, Oklahoma"
Oklahoma State Cowboys,oklahoma-state,"Stillwater, Oklahoma"
Old Dominion Monarchs,old-dominion,"Norfolk, Virginia"
Omaha Mavericks,nebraska-omaha,"Omaha, Nebraska"
Oral Roberts Golden Eagles,oral-roberts,"Tulsa, Oklahoma"
Oregon Ducks,oregon,"Eugene, Oregon"
Oregon State Beavers,oregon-state,"Corvallis, Oregon"
Pacific Tigers,pacific,"Stockton, California"
Penn State Nittany Lions,penn-state,"University Park, Pennsylvania"
Pennsylvania Quakers,pennsylvania,"Philadelphia, Pennsylvania"
Pepperdine Waves,pepperdine,"Malibu, California"
Phillips Haymakers,phillips,"Enid, Oklahoma"
Pittsburg State Gorillas,pittsburg-state,"Pittsburg, Kansas"
Pittsburgh Panthers,pittsburgh,"Pittsburgh, Pennsylvania"
Portland Pilots,portland,"Portland, Oregon"
Portland State Vikings,portland-state,"Portland, Oregon"
Prairie View Panthers,prairie-view,"Prairie View, Texas"
Pratt Institute Cannoneers,pratt-institute,"Brooklyn, New York"
Presbyterian Blue Hose,presbyterian,"Clinton, South Carolina"
Princeton Tigers,princeton,"Princeton, New Jersey"
Providence Friars,providence,"Providence, Rhode Island"
Purdue Boilermakers,purdue,"West Lafayette, Indiana"
Purdue-Fort Wayne Mastodons,ipfw,"Fort Wayne, Indiana"
Quinnipiac Bobcats,quinnipiac,"Hamden, Connecticut"
Radford Highlanders,radford,"Radford, Virginia"
Regis (CO) Rangers,regis-co,"Denver, Colorado"
Rensselaer Engineers,rensselaer,"Troy, New York"
Rhode Island Rams,rhode-island,"Kingston, Rhode Island"
Rice Owls,rice,"Houston, Texas"
Richmond Spiders,richmond,"Richmond, Virginia"
Rider Broncs,rider,"Lawrenceville, New Jersey"
Ripon Red Hawks,ripon,"Ripon, Wisconsin"
Roanoke Maroons,roanoke,"Salem, Virginia"
Robert Morris Colonials,robert-morris,"Moon Township, Pennsylvania"
Rochester (NY) Yellowjackets,rochester-ny,"Rochester, New York"
Rose-Hulman Fightin' Engineers,rose-hulman,"Terre Haute, Indiana"
