year_id,pts,mp,player,player_id,school_name,url_school
2008,6,42,Stanley Robinson,stanley-robinson-1,Connecticut,connecticut
2010,12,42,Darnell Dodson,darnell-dodson-1,Kentucky,kentucky
2013,0,42,Sam McLaurin,sam-mclaurin-1,Illinois,illinois
2008,16,42,Gilbert Brown,gilbert-brown-1,Pittsburgh,pittsburgh
2010,10,42,Savalance Townsend,savalance-townsend-1,Arkansas-Pine Bluff,arkansas-pine-bluff
2017,21,42,Shaquille Morris,shaquille-morris-1,Wichita State,wichita-state
2013,20,42,Kenyatta Smith,kenyatta-smith-1,Harvard,harvard
2016,14,42,Jaylen Bond,jaylen-bond-1,Temple,temple
2009,3,42,Jordan Taylor,jordan-taylor-1,Wisconsin,wisconsin
2019,11,42,Brandon Robinson,brandon-robinson-2,North Carolina,north-carolina
2011,6,42,D.J. Cunningham,dj-cunningham-1,North Carolina-Asheville,north-carolina-asheville
2014,15,42,Ronald Roberts,ronald-roberts--1,Saint Joseph's,saint-josephs
2015,8,42,Alandise Harris,alandise-harris-1,Arkansas,arkansas
2015,10,42,Paul White,paul-white-1,Georgetown,georgetown
2014,12,42,Tshilidzi Nephawe,tshilidzi-nephawe-1,New Mexico State,new-mexico-state
2014,12,42,Kevin Aronis,kevin-aronis-1,New Mexico State,new-mexico-state
2014,4,42,Terry Rozier,terry-rozier-1,Louisville,louisville
2016,8,42,Amida Brimah,amida-brimah-1,Connecticut,connecticut
2015,13,42,Anthony Clemmons,anthony-clemmons-1,Iowa,iowa
2016,11,42,Marcus Lee,marcus-lee-2,Kentucky,kentucky
2010,20,42,Tyrel Reed,tyrel-reed-1,Kansas,kansas
2011,6,42,Jerime Andersen,jerime-andersen-1,UCLA,ucla
2015,0,42,Anton Beard,anton-beard-1,Arkansas,arkansas
2014,17,42,Isaiah Cousins,isaiah-cousins-1,Oklahoma,oklahoma
2012,6,42,Evan Ravenel,evan-ravenel-1,Ohio State,ohio-state
2015,10,42,Treveon Graham,treveon-graham-1,Virginia Commonwealth,virginia-commonwealth
2008,15,42,Scott Martin,scott-martin-1,Purdue,purdue
2017,5,42,Kyle Guy,kyle-guy-1,Virginia,virginia
2014,14,42,Kyle Dranginis,kyle-dranginis-1,Gonzaga,gonzaga
2009,5,42,Kurt Huelsman,kurt-huelsman-1,Dayton,dayton
2011,10,42,DJ Haley,dj-haley-1,Virginia Commonwealth,virginia-commonwealth
