season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2019,UC Davis,1,"95.5
299","107.0
247",".2119
300","51.5
155","53.9
283","20.2
251","20.8
73","21.9
311","28
174","33.7
157","48.3
345","50.3
166","56.4
330","35.8
127","33.6
139","68.7
178","-3
224"
2018,Grambling St.,6,"90.4
341","102.7
149",".1868
300","45.7
331","43.7
6","21.2
309","20.9
66","33.1
69","30.2
220","43.9
22","51.5
346","46.1
290","45.9
63","29.6
326","26.4
4","75
9","-2.7
212"
2017,Savannah St.,7,"98.2
263","111.0
288",".1970
300","50.1
193","49.4
126","16.6
66","21.5
46","30.5
129","34.2
316","32.7
238","27
34","57.3
15","49.7
177","30
303","32.6
108","80.3
2","-1.7
150"
2016,"Austin Peay
16 seed, R64",3,"94.0
310","107.2
234",".1806
300","49
215","54.3
312","20.1
284","22.5
18","29.3
178","29.8
185","44.9
42","29.4
43","49.7
131","54
325","31.8
273","36.5
225","70.3
106","-4.8
304"
2015,Abilene Christian,3,"100.0
212","112.7
317",".2002
300","55
28","54.5
327","18.4
152","18.6
184","22.8
332","30.6
160","36.2
204","41.5
253","46.8
200","56.3
345","45.6
5","33.8
157","65
125","-4.1
272"
2014,Tennessee Martin,2,"106.1
153","120.5
344",".1876
300","51.9
95","59.1
350","17.4
115","18.6
149","33.2
126","36.5
320","35.4
274","52.9
321","49.8
118","60.5
351","37
106","37.2
241","69.2
57","-4.6
311"
2013,Cleveland St.,2,"89.7
315","102.6
211",".1769
300","44.3
301","52.1
278","21.7
261","22.9
58","26.9
292","32
194","27
315","48.4
332","41.9
313","49.8
252","32.5
214","37.1
254","65.2
185","-5
308"
2012,New Hampshire,2,"91.6
306","105.3
249",".1674
300","48.9
177","48.2
146","21.8
255","20.5
157","24
327","31.7
155","37.7
141","40.2
248","44.7
263","47.4
154","36.2
114","33.9
161","66.9
113","-5.8
325"
2011,Sacramento St.,2,"98.3
231","112.1
318",".1821
300","46.8
252","52.7
290","19.8
169","17.7
272","34.9
98","33.8
225","37.8
167","35.2
116","46.5
222","49.7
232","31.5
256","39
296","65
222","-5
300"
2010,Georgia Southern,3,"89.4
318","102.3
201",".1739
300","46.3
255","56.2
342","24.1
308","27.8
4","28.8
280","38.1
323","40.2
131","46.8
300","42.1
318","51.7
291","36.8
88","43.8
341","73.8
8","-4.5
272"
2009,Hartford,2,"91.6
295","106.1
261",".1550
300","45.1
288","50.6
218","19.3
114","23.2
59","24.6
328","36.1
276","28.8
301","42.3
269","43.8
287","49.5
219","31
257","34.9
196","65
225","-6.8
333"
2008,VMI,3,"100.4
191","116.5
337",".1522
300","52.8
75","56.9
327","19.6
107","16.1
324","27.6
295","34.9
247","26.6
313","23.1
8","49.8
118","54
311","37.5
91","40.4
304","77.9
3","-2.3
184"
2020,Maine,3,"93.4
310","105.6
259",".1952
299","47.6
241","50.6
223","19.8
248","22.9
22","28.8
148","30
254","31.3
200","42.4
311","51.4
93","50.5
217","29
301","33.8
185","67
253","-4.2
296"
2019,Texas Southern,4,"97.8
257","109.6
283",".2121
299","51.8
141","47.8
71","20.5
262","18.8
171","29.1
156","31.1
273","47.6
13","38.9
294","51.3
135","47
65","35.2
149","33.1
124","74.8
13","-2.6
210"
2018,Chattanooga,2,"99.3
259","112.7
303",".1894
299","51.8
140","54.6
292","19.1
209","18.3
180","25.1
267","30.6
244","36.3
112","26.2
54","52
111","55.7
322","34.3
208","35.1
165","67.6
236","-5.8
331"
