season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2008,"UNLV
8 seed, R32",3,"99.7
174","92.0
58",".7161
99","44.9
278","45.3
75","18.6
44","25.1
72","30.4
238","37.8
273","36.6
157","36.4
176","46.6
215","48.1
163","28.3
300","26.6
17","67.8
205","-0.4
98"
2020,Nebraska Omaha,4,"104.3
84","97.2
146",".6930
100","51.7
89","48.3
155","18.8
124","16.1
317","27.4
188","27.2
148","27.2
265","25.6
71","49.7
141","46.2
103","37.5
53","34.1
212","69.5
207","-0.5
98"
2019,Holy Cross,4,"106.9
101","99.0
113",".7056
100","51.3
167","50.9
190","16.1
47","21.6
62","23.2
311","33.3
294","20.5
348","29.4
92","48
237","53.2
244","37.8
66","31.5
105","64.7
347","-0.7
129"
2018,Louisiana Tech,4,"105.8
118","98.9
117",".6848
100","47.3
261","46.3
58","15.3
23","18.9
182","29.5
168","31.2
230","45
28","37.8
226","49.2
190","46.3
80","29.6
296","30.8
74","70
219","-0
71"
2017,Lehigh,2,"114.6
18","108.1
278",".6617
100","59.4
6","53.6
264","19.4
181","14.6
336","23.9
303","25.6
56","25.5
326","31.5
106","57.4
17","53.4
266","41.8
12","36
219","73.8
58","-1.7
184"
2016,Washington St.,3,"106.9
105","99.1
104",".7058
100","56.2
34","43.7
40","20.9
276","20.4
86","38.8
27","32.3
227","26.9
328","33.9
113","57.3
22","43.5
71","36.2
117","29.4
62","70.6
157","0.1
69"
2015,Central Michigan,4,"103.2
123","94.8
99",".7252
100","56
26","45.5
92","18.5
108","20
170","32.3
140","21.7
2","38.1
177","31.9
90","54.6
28","50
231","38.2
64","25.6
22","65.2
232","0.1
64"
2014,Portland,4,"106.2
159","98.9
83",".6962
100","49.9
155","48.4
144","15.3
44","17.9
200","30.2
214","28.9
84","40.9
192","37.4
120","49.1
165","43.3
51","34.9
138","39.6
299","71.3
80","-1.4
182"
2013,"Memphis
6 seed, R32",4,"103.5
108","95.2
109",".7243
100","50.7
98","48.9
187","20.5
157","24
62","37.5
57","30.6
129","31.7
241","35.6
162","50.6
87","42.6
63","34
141","39.3
309","68.2
145","-0.3
89"
2012,"Colorado St.
11 seed, R64",5,"112.0
27","103.6
253",".7105
100","51.7
76","51.7
256","19
85","18.6
279","26.7
296","29.8
98","52.5
20","44.9
275","45
237","47.9
184","44.8
11","38.2
277","64.4
292","-0.2
92"
2011,"LIU Brooklyn
15 seed, R64",4,"104.8
93","96.8
136",".7129
100","51.5
93","46
102","20.2
117","24.2
63","34.7
116","34.6
228","51.2
27","27.1
30","48.1
156","43
72","40
34","34.2
183","74.5
21","-0.4
87"
2010,Saint Louis,4,"97.8
203","89.9
36",".7252
100","50.6
117","40.8
13","19.6
101","20.7
187","30.7
230","29.2
73","29.9
295","35
130","51
87","40.6
33","33.3
169","27.8
47","63.5
320","-0.8
134"
2009,Oregon,3,"99.7
160","92.8
72",".6945
100","46.7
225","47.6
134","20.6
133","20.4
210","33.6
151","37
277","43.3
82","42.7
241","40.2
317","47.9
169","38.4
56","31
104","73.4
30","-0.7
130"
2008,"Mississippi St.
8 seed, R32",3,"100.4
167","92.7
73",".7158
100","50.6
150","41.1
14","24
229","19.3
286","36.6
91","31
112","31.5
233","33.5
132","50.7
111","37.8
9","33.6
186","31.7
102","71.8
84","-1.4
181"
2020,Penn,4,"106.6
59","99.4
194",".6905
101","52.2
80","49.1
179","18.5
111","15.4
332","23.4
287","28.6
195","26.9
270","27.3
92","53.4
64","47.1
125","33.9
134","35.6
249","72.9
67","-0.2
83"
2019,"Vermont
13 seed, R64",4,"110.9
51","102.9
195",".7037
101","51.8
148","49.9
148","15
18","15.9
307","23.7
301","26.7
107","32
218","30.3
108","48.8
221","46.6
81","36.9
88","38.2
297","66.4
331","-0.7
128"
2018,Georgia Tech,4,"95.4
283","89.3
19",".6839
101","45.7
301","43.9
32","20.4
234","21.3
89","30.7
131","32
257","46.2
24","28.8
82","45.9
263","41.1
18","30
285","32.7
119","63.8
349","-0.2
76"
2017,Saint Joseph's,3,"105.0
111","99.2
124",".6589
101","49.4
199","52.3
235","15.8
26","20.1
134","29.9
175","26.8
84","35.9
171","26.7
34","46.2
250","49.5
183","37.2
92","37.3
251","69.4
231","-1.7
192"
2016,Houston,4,"112.4
54","104.2
208",".7052
101","55.8
37","45.2
63","14.7
31","23.1
25","40.8
14","26.9
83","31.1
276","46.9
282","59.1
11","48.9
185","33
184","25
13","71.6
117","0.2
60"
2015,"Harvard
13 seed, R64",3,"103.1
125","94.8
98",".7242
101","54.2
43","43.7
59","20.9
213","17.2
290","31.9
153","26.7
55","33
242","30
68","55.2
27","41.3
45","34
160","33.3
167","66.8
169","-0.7
129"
2014,"Stanford
10 seed, Sweet Sixteen",5,"111.3
71","103.8
155",".6910
101","53.8
60","49.4
172","17.6
132","15.4
303","33.1
136","28.2
63","43.8
140","40.1
156","51.9
83","45.3
79","38.8
53","38.4
282","72.4
54","-0.1
81"
2013,Southern Illinois,3,"98.3
177","90.6
49",".7175
101","48.2
167","43
44","26.7
322","26.3
17","41.9
14","32.6
177","27.4
305","45.4
286","48.9
122","45.4
118","29.7
257","24.5
17","65.2
239","0
65"
2012,Tennessee,2,"112.8
21","104.4
260",".7104
101","52.3
66","50.7
228","17.2
31","15.2
335","37.2
56","30.2
109","42.3
102","35.2
132","48.1
148","47.4
174","40.4
41","40.3
309","66.2
228","-1.2
170"
2011,South Carolina,4,"99.4
176","92.0
70",".7097
101","47.6
203","44.4
68","20.8
140","22.3
116","41.3
15","29.1
84","28.5
308","39.5
184","43.3
267","41.4
37","37.3
78","33.3
160","72.9
45","-0.1
72"
2010,"Wofford
13 seed, R64",3,"109.6
47","100.8
191",".7244
101","49.8
138","49.8
194","18.3
61","16.7
320","31.8
206","29.6
81","35
211","37
163","47.4
174","50.8
246","35.7
118","31.3
109","62.6
331","-0.7
126"
2009,South Carolina,4,"101.8
128","94.8
97",".6931
101","52.3
71","42.5
35","19.5
86","24.2
80","41.7
17","34.4
204","27.5
301","32.3
97","48
158","41.6
48","42.6
17","30.3
88","75.7
9","-0.6
123"
2008,"Siena
13 seed, R32",2,"111.8
29","103.3
236",".7124
101","51.8
123","59.9
327","15.6
7","26.7
37","31.6
209","37.6
271","30.5
254","25.5
37","49.1
154","53.7
275","38.5
77","47.2
331","73.4
53","-1.2
166"
2020,"Northeastern
vs. 240 Elon",4,"108.5
37","101.3
228",".6875
102","60.2
4","51.1
233","22.3
293","18.1
241","23.4
287","26.9
132","25.7
287","30.9
158","55.6
33","55.3
310","44.5
3","29.9
84","68.7
238","-2.7
261"
2019,Oregon St.,5,"105.4
122","97.8
100",".7030
102","50.6
188","43.7
21","17.3
92","16.6
286","34.6
45","28.2
153","26.4
302","31.9
142","53.7
97","43.4
35","29.3
294","29.5
55","68.6
270","0.2
51"
2018,Southern Illinois,2,"102.2
188","95.6
70",".6836
102","49
218","46.4
61","18.2
124","16.1
307","25.9
256","27.7
130","21.4
344","40.7
261","48.3
211","49.3
158","33.8
206","27.8
28","70.4
202","-0.6
104"
2017,Utah St.,3,"103.3
148","97.6
99",".6584
102","54.2
54","47
89","18.3
128","17.2
270","19.4
339","28.4
127","30.1
274","33.7
142","55.1
36","44.8
81","35.2
153","33.3
141","70.3
189","-1
137"
2016,George Mason,3,"101.6
190","94.2
49",".7032
102","49.1
170","45.4
69","21.7
312","12.1
350","30.3
165","21.5
14","30.1
289","30.3
57","49.2
148","43.4
68","32.6
200","33.6
159","68.4
256","-2
230"
2015,Eastern Michigan,4,"105.1
93","96.8
125",".7202
102","53.2
60","45.6
95","16.9
42","22.5
72","39.1
31","30.2
138","52.5
16","27.9
46","52.3
68","43.3
81","36.5
94","32.6
150","64.7
249","0.2
57"
2014,Vanderbilt,4,"106.8
143","99.9
98",".6829
102","54.5
46","47.8
122","19.5
229","14.1
335","30.2
214","27.8
56","52.5
39","37
111","53.9
46","49.4
176","37.2
86","30
67","68.8
179","-0.5
104"
2013,Wright St.,4,"96.8
200","89.4
41",".7139
102","50.3
110","46.5
125","17.1
43","24.3
49","22.9
335","25.7
29","32.3
231","50
323","51.1
75","51.3
266","32.8
180","26.4
38","63.2
297","-1.1
150"
2012,Oklahoma,4,"107.4
63","99.4
177",".7087
102","48.6
171","51.6
254","18.3
57","22
132","44.9
5","29.4
82","34.5
210","31.1
74","45.4
219","48.4
195","37.6
80","37.1
253","70.6
73","0.2
61"
2011,North Dakota St.,2,"106.1
73","98.2
152",".7090
102","49.7
138","47.7
151","21.1
161","18
284","32.4
170","34
212","37.3
199","30.6
71","44.4
243","47
175","43.7
15","33
155","71
89","-1.3
173"
2010,Coastal Carolina,3,"98.8
193","90.9
48",".7239
102","45.6
244","44.5
82","20.4
133","20.1
215","37.2
69","30.4
97","38.8
154","33.9
114","45
239","48.2
180","31.8
214","24.1
14","66.7
256","-0.7
120"
2009,UNLV,5,"98.6
183","92.0
63",".6895
102","47.6
193","45.6
86","18.5
52","24.4
74","29.8
249","33.2
176","41.8
95","31.9
92","46.2
198","43.2
69","33.1
191","34.5
193","70.6
99","-0.8
133"
2008,North Texas,2,"98.0
199","90.9
46",".7035
102","49.7
169","44.5
58","25.5
276","19
296","32.1
202","27
29","33.9
198","32.3
111","53.2
68","50.4
213","27.5
307","24.1
5","76.7
15","-0.4
99"
2020,Western Carolina,4,"106.7
57","99.7
199",".6857
103","52.2
80","48.6
161","18.8
124","20.6
128","30.5
109","29.3
220","38.3
76","39.8
296","50
132","51
230","36.4
69","29.1
71","72.4
85","-0.4
92"
2019,BYU,5,"105.4
123","97.8
101",".7017
103","50.1
204","45
44","12.4
4","15.2
331","24.4
283","22.9
29","36.2
135","26.4
39","55.6
56","41.3
15","27.8
318","34.6
212","75.2
30","-1.2
160"
2018,Central Michigan,3,"107.1
100","100.2
137",".6814
103","51.7
134","49.1
121","19.4
183","17.1
274","25.7
262","28.6
160","36.1
146","16.2
1","48.1
214","54.7
279","37.2
99","29.1
35","66.8
323","0.1
66"
2017,"Bucknell
13 seed, R64",6,"106.1
92","100.3
143",".6575
103","53.7
64","51.2
207","19.1
167","20
139","25.5
275","29.5
164","33.2
212","28.1
56","53.2
67","48.3
157","36.4
113","38.5
283","70.6
182","0.6
34"
2016,Massachusetts,4,"109.8
78","101.9
165",".7011
103","53.8
65","45.6
75","16.5
85","16.5
259","27.3
238","30.2
169","43
95","43.8
251","51.1
105","48.2
165","38.5
67","27.4
27","72.4
86","0.3
42"
2015,Wake Forest,4,"98.5
191","90.7
50",".7198
103","46.6
216","46.9
136","21.8
253","20
170","38.2
41","19.9
1","48.3
42","38.2
184","46.9
182","50.4
243","30.6
237","27.7
43","69.7
68","-1.8
224"
2014,Middle Tennessee,6,"109.2
108","102.2
130",".6820
103","52.4
88","46.4
89","19.1
211","20.1
83","35
88","30.7
137","58.7
16","50.1
274","51
105","45.5
86","37.4
75","32.2
126","67.3
241","0.7
37"
